row_number,prediction,actual_value,current_value,dist_baseline,dist_prediction,accuracy
141,5.2579117,5,4.7,0.3000002,0.25791168,14.029497
142,4.659513,6.8,5,1.8000002,2.1404872,0
143,4.5680366,5.4,6.8,1.4000001,0.83196354,40.57404
144,5.096891,5.2,5.4,0.20000029,0.10310888,48.44563
145,4.188817,3.3,5.2,1.8999999,0.8888171,53.220154
146,4.10057,2.2,3.3,1.0999999,1.9005702,0
147,2.6478992,1,2.2,1.2,1.6478992,0
148,1.5756918,0,1,1,1.5756918,0
149,1.3363451,-0.4,0,0.4,1.736345,0
150,2.0255957,-0.3,-0.4,0.099999994,2.3255956,0
151,3.8445535,3.6,-0.3,3.8999999,0.24455357,93.72939
152,5.1975093,9.4,3.6,5.7999997,4.2024903,27.543264
153,8.406631,10.1,9.4,0.70000076,1.6933689,0
154,12.818166,12.8,10.1,2.6999998,0.018165588,99.3272
155,12.747318,15.6,12.8,2.8000002,2.852682,0
156,14.565119,16.1,15.6,0.5,1.5348816,0
157,16.650105,17.2,16.1,1.1000004,0.54989624,50.009453
158,16.42218,18.8,17.2,1.5999985,2.377819,0
159,15.735353,18.4,18.8,0.39999962,2.6646461,0
160,16.055,18.2,18.4,0.19999886,2.1450005,0
161,14.539307,15.1,18.2,3.1000004,0.56069374,81.91311
162,12.95264,10.9,15.1,4.200001,2.05264,51.127625
163,10.229568,10.5,10.9,0.39999962,0.27043247,32.391815
164,8.009898,12.9,10.5,2.3999996,4.8901014,0
165,7.87036,11,12.9,1.8999996,3.12964,0
166,9.379586,8.1,11,2.8999996,1.2795858,55.876343
167,7.622618,8.8,8.1,0.6999998,1.177382,0
168,5.442346,5,8.8,3.8000002,0.4423461,88.359314
169,6.7251368,4.9,5,0.099999905,1.8251367,0
170,5.029804,6.1,4.9,1.1999998,1.0701957,10.817015
171,4.7923064,3.9,6.1,2.1999998,0.8923063,59.44062
172,5.296409,3.4,3.9,0.5,1.896409,0
173,3.8314893,3,3.4,0.4000001,0.8314893,0
174,4.659441,2.9,3,0.099999905,1.7594409,0
175,7.8065615,7.2,2.9,4.2999997,0.60656166,85.89392
176,9.859949,12.3,7.2,5.1000004,2.440051,52.155865
177,13.260976,16.2,12.3,3.9000006,2.939025,24.6404
178,16.328068,18.7,16.2,2.5,2.371933,5.1226797
179,18.517458,21.1,18.7,2.3999996,2.5825424,0
180,19.30142,22.2,21.1,1.1000004,2.8985806,0
181,20.03834,22.9,22.2,0.69999886,2.86166,0
182,20.202467,16.7,22.9,6.199999,3.5024662,43.508602
183,19.278368,13.5,16.7,3.2000008,5.778368,0
184,14.502681,11.5,13.5,2,3.0026808,0
185,11.347903,9.7,11.5,1.8000002,1.6479034,8.449817
186,9.530727,8.7,9.7,1,0.8307276,16.927242
187,8.150265,8.6,8.7,0.09999943,0.44973564,0
188,7.1614413,7.5,8.6,1.1000004,0.33855867,69.22195
189,6.45241,7.4,7.5,0.099999905,0.9475899,0
190,5.8794026,6.7,7.4,0.7000003,0.8205972,0
191,5.3239217,5.9,6.7,0.7999997,0.5760784,27.990173
192,4.9644732,3.9,5.9,2,1.0644732,46.776344
193,4.3884683,3.4,3.9,0.5,0.98846817,0
194,3.0293407,2.4,3.4,1,0.62934065,37.065933
195,2.2433877,1.6,2.4,0.8000001,0.6433877,19.57655
196,2.2117224,1,1.6,0.6,1.2117224,0
197,2.8874192,1.1,1,0.100000024,1.7874192,0
198,3.3545294,3.8,1.1,2.6999998,0.44547057,83.50109
199,5.957207,5.5,3.8,1.7,0.4572072,73.10546
200,9.719816,9.7,5.5,4.2,0.019816399,99.52818
201,10.8581,18,9.7,8.3,7.1419,13.953012
202,13.004976,15.7,18,2.3000002,2.6950235,0
203,16.826761,13.8,15.7,1.8999996,3.026761,0
204,14.569596,12,13.8,1.8000002,2.5695963,0
205,12.958876,10.5,12,1.5,2.4588757,0
206,12.273519,10.5,10.5,0,1.7735186,0
207,11.678043,10.5,10.5,0,1.1780434,0
208,11.9298315,11.1,10.5,0.6000004,0.8298311,0
209,11.064028,9.7,11.1,1.4000006,1.364028,2.5694728
210,10.159639,8.1,9.7,1.5999994,2.059639,0
211,8.718085,7,8.1,1.1000004,1.7180853,0
212,8.086624,6,7,1,2.0866241,0
213,7.549323,5.3,6,0.6999998,2.249323,0
214,7.150119,4.6,5.3,0.7000003,2.550119,0
215,6.259418,1.8,4.6,2.8,4.4594183,0
216,5.399859,4.1,1.8,2.3,1.299859,43.48439
217,3.3612843,2.6,4.1,1.5,0.76128435,49.24771
218,3.8918135,-0.4,2.6,3,4.2918134,0
219,2.478238,-1.9,-0.4,1.5,4.378238,0
220,1.1911223,-1,-1.9,0.9,2.1911223,0
221,0.62711227,-3.2,-1,2.2,3.8271122,0
222,1.7166152,-2.6,-3.2,0.60000014,4.316615,0
223,2.6221726,3.2,-2.6,5.8,0.57782745,90.03746
224,4.283407,5.5,3.2,2.3,1.2165928,47.104664
225,7.8881,6.7,5.5,1.1999998,1.1881003,0.9916246
226,8.936165,8.3,6.7,1.6000004,0.63616467,60.23972
227,9.660245,9.6,8.3,1.3000002,0.06024456,95.36581
228,10.732988,10.2,9.6,0.5999994,0.53298855,11.168491
229,11.608052,10.7,10.2,0.5,0.90805244,0
230,11.517552,11.2,10.7,0.5,0.31755257,36.489487
231,10.990252,11,11.2,0.19999981,0.009748459,95.12576
232,10.823699,10.5,11,0.5,0.323699,35.2602
233,9.898459,9.2,10.5,1.3000002,0.6984596,46.272343
234,8.770671,8.2,9.2,1,0.5706711,42.93289
235,7.4358187,6.7,8.2,1.5,0.73581886,50.94541
236,7.0049257,5.9,6.7,0.7999997,1.1049256,0
237,6.179749,4.8,5.9,1.0999999,1.3797488,0
238,4.9039936,4.4,4.8,0.4000001,0.5039935,0
239,3.8001904,3.3,4.4,1.1000001,0.5001905,54.52814
240,3.2419572,2,3.3,1.3,1.2419572,4.464829
241,2.9832559,1.1,2,0.9,1.8832558,0
242,2.4890616,0.4,1.1,0.70000005,2.0890615,0
243,1.497489,-1.1,0.4,1.5,2.5974889,0
244,0.34975135,-1.9,-1.1,0.79999995,2.2497513,0
245,-0.65121114,-2.5,-1.9,0.6,1.8487889,0
246,-0.7408287,-2.1,-2.5,0.4000001,1.3591712,0
247,1.5489392,-0.2,-2.1,1.8999999,1.7489393,7.9505563
248,3.6260808,3.8,-0.2,4,0.1739192,95.65202
249,5.4659414,5.9,3.8,2.1000001,0.43405867,79.330536
250,7.545213,7.3,5.9,1.4000001,0.24521303,82.48478
251,8.515614,9.1,7.3,1.8000002,0.5843868,67.534065
252,9.506372,10.4,9.1,1.2999992,0.89362717,31.259405
253,10.961898,11,10.4,0.6000004,0.03810215,93.64964
254,11.229559,10.7,11,0.3000002,0.52955914,0
255,10.686585,11.1,10.7,0.40000057,0.41341496,0
256,9.222545,10.5,11.1,0.6000004,1.2774553,0
257,8.8912735,9.6,10.5,0.8999996,0.7087269,21.252537
258,7.6110945,9.5,9.6,0.10000038,1.8889055,0
259,6.796948,9.4,9.5,0.10000038,2.6030517,0
260,7.0411773,9.3,9.4,0.09999943,2.258823,0
261,6.941476,8.8,9.3,0.5,1.8585243,0
262,7.1333423,8.7,8.8,0.10000038,1.5666575,0
263,7.03412,7.2,8.7,1.5,0.16587973,88.94135
264,6.616753,5.5,7.2,1.6999998,1.1167531,34.308636
265,4.9395156,7.3,5.5,1.8000002,2.3604846,0
266,3.7567396,7.1,7.3,0.20000029,3.3432603,0
267,4.704277,6.8,7.1,0.2999997,2.0957232,0
268,3.5683382,4.7,6.8,2.1000004,1.1316617,46.11136
269,3.6978664,3.7,4.7,0.99999976,0.0021336079,99.78664
270,3.4164867,3.2,3.7,0.5,0.21648669,56.70266
271,3.9975471,2.8,3.2,0.4000001,1.1975472,0
272,5.670193,3.4,2.8,0.60000014,2.270193,0
273,5.3786387,4,3.4,0.5999999,1.3786387,0
274,5.80178,4.4,4,0.4000001,1.4017801,0
275,6.863771,4.6,4.4,0.19999981,2.263771,0
276,7.6548576,5.3,4.6,0.7000003,2.3548574,0
277,8.020319,5.5,5.3,0.19999981,2.520319,0
278,8.967933,6.2,5.5,0.6999998,2.767933,0
279,8.9669895,6.4,6.2,0.20000029,2.5669894,0
280,9.567567,7.2,6.4,0.7999997,2.367567,0
281,9.145416,6.9,7.2,0.2999997,2.2454162,0
282,9.412276,4.8,6.9,2.1,4.612276,0
283,8.087997,4.3,4.8,0.5,3.7879972,0
284,5.9531584,5.3,4.3,1,0.6531582,34.68418
285,5.49273,4.4,5.3,0.9000001,1.09273,0
286,6.711642,5.1,4.4,0.6999998,1.6116419,0
287,5.5434775,5,5.1,0.099999905,0.54347754,0
288,5.847475,4.8,5,0.19999981,1.0474749,0
289,4.819226,4.2,4.8,0.6000004,0.619226,0
290,4.10169,3.4,4.2,0.7999997,0.7016897,12.288755
291,3.5825534,2.9,3.4,0.5,0.6825533,0
292,2.8913686,2.3,2.9,0.60000014,0.5913687,1.438576
293,2.3350816,1.6,2.3,0.6999999,0.73508155,0
294,2.2518246,1.6,1.6,0,0.6518246,0
295,2.7311635,3.9,1.6,2.3000002,1.1688366,49.18102
296,4.485815,4.8,3.9,0.9000001,0.31418514,65.090546
297,7.3958855,5.1,4.8,0.2999997,2.2958856,0
298,7.459912,6.1,5.1,1,1.3599119,0
299,7.567851,6.8,6.1,0.7000003,0.7678509,0
300,9.074276,7.3,6.8,0.5,1.7742758,0
301,10.109294,7.9,7.3,0.5999999,2.2092938,0
302,10.732776,8.6,7.9,0.7000003,2.1327753,0
303,11.413313,9,8.6,0.39999962,2.413313,0
304,11.873654,8.5,9,0.5,3.3736544,0
305,11.802998,6.8,8.5,1.6999998,5.0029974,0
306,9.865775,5.7,6.8,1.1000004,4.1657753,0
307,7.1421857,4.8,5.7,0.8999996,2.3421855,0
308,5.896366,4.3,4.8,0.5,1.5963659,0
309,4.8960323,3.9,4.3,0.4000001,0.99603224,0
310,4.0326004,3,3.9,0.9000001,1.0326004,0
311,3.4639843,2.8,3,0.20000005,0.6639843,0
312,2.0848234,1.5,2.8,1.3,0.58482337,55.013584
313,2.0944166,0.9,1.5,0.6,1.1944166,0
314,0.39497232,0.8,0.9,0.099999964,0.4050277,0
315,-0.87623286,0.8,0.8,0,1.6762328,0
316,-1.2856424,1.2,0.8,0.40000004,2.4856424,0
317,-1.6571068,1.3,1.2,0.099999905,2.9571066,0
318,-0.5396012,1.1,1.3,0.19999993,1.6396012,0
319,2.1133022,1.1,1.1,0,1.0133022,0
320,3.496513,1.6,1.1,0.5,1.8965129,0
321,3.166088,3,1.6,1.4,0.1660881,88.136566
322,3.5451758,4.5,3,1.5,0.9548242,36.345055
323,5.85263,6,4.5,1.5,0.14736986,90.17534
324,7.988819,7.7,6,1.6999998,0.2888193,83.01063
325,10.628282,8.7,7.7,1,1.9282818,0
326,12.780328,9.4,8.7,0.6999998,3.3803282,0
327,12.90048,9.1,9.4,0.29999924,3.80048,0
328,12.276619,8.5,9.1,0.6000004,3.776619,0
329,10.613089,7.6,8.5,0.9000001,3.0130887,0
330,8.409414,6.6,7.6,1,1.8094144,0
331,7.239553,5.9,6.6,0.6999998,1.3395529,0
332,5.985649,5.4,5.9,0.5,0.585649,0
333,5.418626,5,5.4,0.4000001,0.41862583,0
334,5.15201,4.1,5,0.9000001,1.05201,0
335,4.614622,1.3,4.1,2.8,3.3146222,0
336,4.10104,0.4,1.3,0.9,3.7010398,0
337,1.7040827,0,0.4,0.4,1.7040827,0
338,1.1255848,0,0,0,1.1255848,0
339,0.5022025,1.8,0,1.8,1.2977974,27.90014
340,0.09405598,2.4,1.8,0.60000014,2.3059442,0
341,1.3415269,2,2.4,0.4000001,0.65847313,0
342,2.2677424,-0.1,2,2.1,2.3677423,0
343,3.9276829,1.8,-0.1,1.9,2.127683,0
344,3.3310604,5.4,1.8,3.6000001,2.0689397,42.529457
345,6.7935224,7,5.4,1.5999999,0.20647764,87.095146
346,9.695973,8.3,7,1.3000002,1.3959732,0
347,10.367056,9.5,8.3,1.1999998,0.8670559,27.74533
348,11.895606,10.6,9.5,1.1000004,1.2956057,0
349,13.280758,11.4,10.6,0.79999924,1.8807583,0
350,14.303914,11.7,11.4,0.3000002,2.6039143,0
351,14.491154,11.6,11.7,0.09999943,2.8911533,0
352,13.807036,11.1,11.6,0.5,2.707036,0
353,12.547078,10.7,11.1,0.40000057,1.8470783,0
354,10.67167,8.7,10.7,2,1.9716702,1.4164925
355,9.944643,7,8.7,1.6999998,2.944643,0
356,7.9211617,6,7,1,1.9211617,0
357,5.9520354,5.5,6,0.5,0.45203543,9.592915
358,5.372186,4.9,5.5,0.5999999,0.4721861,21.302307
359,5.054164,7.8,4.9,2.9,2.7458363,5.315995
360,4.5997434,7.8,7.8,0,3.2002568,0
361,6.848445,7.7,7.8,0.10000038,0.8515549,0
362,6.3567443,7.3,7.7,0.39999962,0.9432559,0
363,6.1206546,7.6,7.3,0.2999997,1.4793453,0
364,5.3264003,7,7.6,0.5999999,1.6735997,0
365,5.6529293,7.2,7,0.19999981,1.5470705,0
366,5.118834,6.9,7.2,0.2999997,1.7811661,0
367,6.437706,7.6,6.9,0.6999998,1.1622939,0
368,7.8005505,9.1,7.6,1.5000005,1.2994499,13.370031
369,9.6532755,11.5,9.1,2.3999996,1.8467245,23.053133
370,11.516381,12.7,11.5,1.1999998,1.1836185,1.3651073
371,13.929024,13.3,12.7,0.6000004,0.62902355,0
372,14.965942,14.2,13.3,0.8999996,0.7659426,14.895237
373,15.442038,14.4,14.2,0.19999981,1.042038,0
374,16.610546,13.3,14.4,1.0999994,3.310546,0
375,16.682665,13.4,13.3,0.09999943,3.2826653,0
376,15.101751,12.7,13.4,0.6999998,2.4017515,0
377,13.954515,12.3,12.7,0.39999962,1.6545153,0
378,11.988879,11.3,12.3,1,0.688879,31.112099
379,10.526764,10.4,11.3,0.9000006,0.1267643,85.915085
380,9.953987,9.6,10.4,0.79999924,0.35398674,55.751617
381,9.159178,8.7,9.6,0.9000006,0.45917797,48.98026
382,8.450669,8,8.7,0.6999998,0.4506693,35.618656
383,7.233215,7.4,8,0.5999999,0.16678524,72.20245
384,6.478262,6.9,7.4,0.5,0.42173815,15.65237
385,6.234925,6.7,6.9,0.20000029,0.46507502,0
386,5.6448607,6.2,6.7,0.5,0.55513906,0
387,4.9700394,6.1,6.2,0.099999905,1.1299605,0
388,4.300275,5.8,6.1,0.2999997,1.4997253,0
389,4.126,5.6,5.8,0.20000029,1.474,0
390,4.049286,4.3,5.6,1.2999997,0.2507143,80.71428
391,5.173628,5.3,4.3,1,0.12637234,87.36276
392,5.9602613,7,5.3,1.6999998,1.0397387,38.838894
393,8.181222,8.7,7,1.6999998,0.51877785,69.48365
394,9.896138,10.1,8.7,1.4000006,0.20386219,85.438416
395,11.616127,11.8,10.1,1.6999998,0.18387318,89.18393
396,13.195731,13.7,11.8,1.8999996,0.50426865,73.45954
397,15.0673685,15.1,13.7,1.4000006,0.032631874,97.66915
398,16.452623,15.7,15.1,0.5999994,0.75262356,0
399,16.74819,15.3,15.7,0.39999962,1.4481897,0
400,16.307266,15.2,15.3,0.10000038,1.1072664,0
401,15.177856,14,15.2,1.1999998,1.1778564,1.8452823
402,14.067386,12.4,14,1.6000004,1.667386,0
403,12.110249,10.1,12.4,2.2999992,2.0102482,12.597877
404,10.479072,10.3,10.1,0.19999981,0.17907143,10.464203
405,8.906173,11.8,10.3,1.5,2.8938274,0
406,9.351848,11.3,11.8,0.5,1.9481525,0
407,10.244002,9.7,11.3,1.6000004,0.54400253,65.999855
408,9.016613,10,9.7,0.3000002,0.983387,0
409,7.628638,11,10,1,3.3713622,0
410,8.008787,11.1,11,0.10000038,3.0912132,0
411,8.379311,11.9,11.1,0.79999924,3.520689,0
412,7.824166,10.9,11.9,1,3.0758338,0
413,8.7242775,9.2,10.9,1.6999998,0.4757223,72.016335
414,8.3592205,8.2,9.2,1,0.1592207,84.07793
415,7.589363,6.6,8.2,1.5999999,0.9893632,38.164795
416,8.856258,7,6.6,0.4000001,1.8562584,0
417,7.7234387,8.7,7,1.6999998,0.97656107,42.555225
418,8.053792,9.5,8.7,0.8000002,1.446208,0
419,10.068415,10.7,9.5,1.1999998,0.6315851,47.3679
420,10.366281,11.4,10.7,0.6999998,1.0337191,0
421,11.766545,11.9,11.4,0.5,0.13345432,73.309135
422,12.426668,11.7,11.9,0.19999981,0.72666836,0
423,12.669695,12,11.7,0.3000002,0.6696949,0
424,11.870297,10.6,12,1.3999996,1.270297,9.264469
425,11.648896,8.6,10.6,2,3.0488958,0
426,8.927601,6.5,8.6,2.1000004,2.4276009,0
427,5.9309554,5,6.5,1.5,0.9309554,37.936306
428,3.8675468,4,5,1,0.1324532,86.75468
429,2.5562677,3,4,1,0.44373226,55.626774
430,1.9386224,2.6,3,0.4000001,0.66137755,0
431,1.0351974,2.3,2.6,0.29999995,1.2648026,0
432,0.9138819,2.1,2.3,0.20000005,1.186118,0
433,0.7294105,2.2,2.1,0.10000014,1.4705895,0
434,0.4342912,2,2.2,0.20000005,1.5657088,0
435,0.33350924,1.3,2,0.70000005,0.96649075,0
436,-0.18142857,1.2,1.3,0.099999905,1.3814286,0
437,0.06732165,0.7,1.2,0.50000006,0.63267833,0
438,0.27591175,0.8,0.7,0.100000024,0.52408826,0
439,0.5120296,2.2,0.8,1.4000001,1.6879704,0
440,2.5879247,3.4,2.2,1.2,0.8120754,32.327057
441,4.563841,3,3.4,0.4000001,1.5638409,0
442,5.4742064,3.4,3,0.4000001,2.0742064,0
443,4.214221,4,3.4,0.5999999,0.214221,64.29649
444,5.0636315,3.9,4,0.099999905,1.1636314,0
445,5.993462,4.4,3.9,0.5,1.593462,0
446,5.6239552,5.2,4.4,0.7999997,0.42395544,47.00555
447,6.121841,5.2,5.2,0,0.92184114,0
448,6.359451,4.8,5.2,0.39999962,1.5594506,0
449,5.431838,3.3,4.8,1.5000002,2.131838,0
450,4.4818316,1.9,3.3,1.4,2.5818315,0
451,1.9944286,1.7,1.9,0.19999993,0.2944286,0
452,0.16097972,1.7,1.7,0,1.5390203,0
453,0.5679057,1.1,1.7,0.6,0.5320943,11.317623
454,1.0714172,0.4,1.1,0.70000005,0.67141724,4.0832577
455,0.23361135,-0.4,0.4,0.8,0.6336113,20.798588
456,-0.30313,-1.1,-0.4,0.70000005,0.79687,0
457,-0.93306655,-1.4,-1.1,0.29999995,0.46693343,0
458,-1.4614625,-1.5,-1.4,0.100000024,0.038537502,61.46251
459,-2.285748,-1.5,-1.5,0,0.785748,0
460,-2.3706565,-1.4,-1.5,0.100000024,0.9706565,0
461,-2.293591,-2.1,-1.4,0.6999999,0.19359112,72.344124
462,-1.9330856,-1.5,-2.1,0.5999999,0.43308556,27.819061
463,-1.3971988,-1.4,-1.5,0.100000024,0.00280118,97.19882
464,0.7401384,0.2,-1.4,1.6,0.5401384,66.24135
465,0.4694945,1.4,0.2,1.1999999,0.9305055,22.457869
466,2.0077958,1.7,1.4,0.30000007,0.30779576,0
467,2.7833302,3.2,1.7,1.5,0.41666985,72.22201
468,2.5474546,4.3,3.2,1.1000001,1.7525456,0
469,3.9773054,4.8,4.3,0.5,0.8226948,0
470,4.745274,5.3,4.8,0.5,0.5547261,0
471,4.697321,5.7,5.3,0.39999962,1.0026789,0
472,4.6716304,5.6,5.7,0.099999905,0.9283695,0
473,4.5511174,4.5,5.6,1.0999999,0.05111742,95.35296
474,3.9588504,3.7,4.5,0.79999995,0.25885034,67.6437
475,2.6607828,3.1,3.7,0.60000014,0.4392171,26.797169
476,1.9550045,2.4,3.1,0.6999998,0.44499564,36.42918
477,1.0438441,2.7,2.4,0.29999995,1.656156,0
478,-0.1483158,2.3,2.7,0.4000001,2.4483159,0
479,0.6246159,1.4,2.3,0.9,0.77538407,13.846212
480,0.633438,1.1,1.4,0.29999995,0.46656203,0
481,-0.007720493,0.8,1.1,0.3,0.8077205,0
482,0.20828202,0.6,0.8,0.19999999,0.391718,0
483,-0.07491504,-0.1,0.6,0.70000005,0.025084965,96.416435
484,-0.64394057,-0.9,-0.1,0.79999995,0.2560594,67.99257
485,-1.7635906,-1.3,-0.9,0.39999998,0.46359062,0
486,-2.0493286,-1.7,-1.3,0.4000001,0.34932852,12.667889
487,-0.58574885,0.2,-1.7,1.9000001,0.78574884,58.644802
488,1.113382,2.2,0.2,2,1.0866181,45.669098
489,3.9851627,3.4,2.2,1.2,0.58516264,51.23645
490,5.6093097,4.5,3.4,1.0999999,1.1093097,0
491,6.919414,5.6,4.5,1.0999999,1.3194141,0
492,8.600985,6.9,5.6,1.3000002,1.7009845,0
493,10.323964,8,6.9,1.0999999,2.323964,0
494,11.925408,8.4,8,0.39999962,3.5254087,0
495,12.801532,8.7,8.4,0.3000002,4.101532,0
496,12.020356,8.3,8.7,0.39999962,3.720356,0
497,11.395507,7.5,8.3,0.8000002,3.8955069,0
498,10.152344,6.6,7.5,0.9000001,3.5523438,0
499,9.316489,6.2,6.6,0.4000001,3.1164894,0
500,8.207064,6.1,6.2,0.099999905,2.1070638,0
501,7.687032,6,6.1,0.099999905,1.6870322,0
502,7.278529,6.2,6,0.19999981,1.0785294,0
503,7.1133256,6.2,6.2,0,0.9133258,0
504,7.2376447,4.8,6.2,1.3999996,2.4376445,0
505,7.307191,6.4,4.8,1.5999999,0.9071908,43.300568
506,5.79456,5.4,6.4,1,0.39455986,60.544014
507,7.724617,6,5.4,0.5999999,1.724617,0
508,5.3770075,4.6,6,1.4000001,0.7770076,44.499462
509,5.935073,4.6,4.6,0,1.335073,0
510,4.8934174,5.2,4.6,0.5999999,0.30658245,48.902916
511,5.9693303,5.9,5.2,0.7000003,0.069330215,90.09569
512,7.421964,7.5,5.9,1.5999999,0.07803583,95.12276
513,8.707961,8.4,7.5,0.8999996,0.30796146,65.78204
514,10.111383,8,8.4,0.39999962,2.1113834,0
515,11.166841,8.6,8,0.6000004,2.5668402,0
516,11.416888,9.3,8.6,0.6999998,2.116888,0
517,12.693827,9.7,9.3,0.39999962,2.9938269,0
518,13.714573,10,9.7,0.3000002,3.714573,0
519,13.802265,9.6,10,0.39999962,4.202265,0
520,13.456833,9.4,9.6,0.20000076,4.0568333,0
521,12.308546,9,9.4,0.39999962,3.308546,0
522,11.093529,7.8,9,1.1999998,3.2935286,0
523,10.009169,7.1,7.8,0.7000003,2.9091687,0
524,9.095342,6.4,7.1,0.6999998,2.6953416,0
525,7.7872148,5.3,6.4,1.0999999,2.4872146,0
526,6.5302167,3.9,5.3,1.4000001,2.6302166,0
527,5.1166844,2.9,3.9,1,2.2166843,0
528,3.933851,2.7,2.9,0.20000005,1.233851,0
529,2.7412403,2.3,2.7,0.4000001,0.4412403,0
530,2.355602,2,2.3,0.29999995,0.35560203,0
531,1.3299273,2.3,2,0.29999995,0.9700726,0
532,0.68645084,2.1,2.3,0.20000005,1.4135491,0
533,1.0275345,2.1,2.1,0,1.0724654,0
534,1.9395702,2,2.1,0.099999905,0.06042981,39.57013
535,4.0851374,2.6,2,0.5999999,1.4851375,0
536,6.1176257,3.2,2.6,0.60000014,2.9176257,0
537,6.704227,3.3,3.2,0.099999905,3.404227,0
538,7.686028,4.9,3.3,1.6000001,2.786028,0
539,7.3092937,5.5,4.9,0.5999999,1.8092937,0
540,10.578426,6.2,5.5,0.6999998,4.3784266,0
541,11.559707,7.7,6.2,1.5,3.8597069,0
542,11.9632635,10.2,7.7,2.5,1.7632637,29.469454
543,13.777088,13.1,10.2,2.9000006,0.6770878,76.65215
544,15.708181,12.3,13.1,0.8000002,3.4081812,0
545,16.983147,10.7,12.3,1.6000004,6.283147,0
546,13.721495,8.1,10.7,2.5999994,5.6214943,0
547,11.182126,6.7,8.1,1.4000006,4.482126,0
548,9.014541,5.7,6.7,1,3.3145409,0
549,7.6102047,5.2,5.7,0.5,2.410205,0
550,6.7259383,4.5,5.2,0.6999998,2.2259383,0
551,6.3433847,3.8,4.5,0.70000005,2.5433848,0
552,6.4101787,3.1,3.8,0.70000005,3.3101788,0
553,6.004937,3.1,3.1,0,2.9049373,0
554,5.737319,2.7,3.1,0.39999986,3.037319,0
555,5.286965,2.4,2.7,0.29999995,2.8869648,0
556,4.053503,1.9,2.4,0.5000001,2.153503,0
557,3.1842158,1.6,1.9,0.29999995,1.5842158,0
558,3.4183865,2.1,1.6,0.49999988,1.3183866,0
559,4.8688183,3.4,2.1,1.3000002,1.4688182,0
560,7.435875,5.1,3.4,1.6999998,2.335875,0
561,8.735756,5.4,5.1,0.3000002,3.3357558,0
562,10.123419,6.3,5.4,0.9000001,3.8234186,0
563,9.436298,7.5,6.3,1.1999998,1.9362984,0
564,10.37583,8.5,7.5,1,1.8758297,0
565,12.176793,9.3,8.5,0.8000002,2.876793,0
566,12.894793,9.6,9.3,0.3000002,3.2947922,0
567,13.017522,9.4,9.6,0.20000076,3.6175222,0
568,12.8597765,9,9.4,0.39999962,3.8597765,0
569,11.649434,8.1,9,0.8999996,3.5494337,0
570,10.0941305,6.8,8.1,1.3000002,3.2941303,0
571,8.70528,5.7,6.8,1.1000004,3.0052805,0
572,7.5532317,5,5.7,0.6999998,2.5532317,0
573,6.1977124,4.6,5,0.4000001,1.5977125,0
574,4.9371767,4.6,4.6,0,0.3371768,0
